Clock,Pearson_r,R2,MAE_yrs,RMSE_yrs,N
CausAge,0.916,0.839,6.76,7.94,95
PhenoAge,0.912,0.831,5.57,6.96,95
DunedinPACE,0.502,0.252,30.58,32.23,95
Zhang-10,0.485,0.235,33.99,35.42,95
